sample_id	density	production	prod_level
M_D_TasdA_P_asdD_aceBA_DlysA_0_12_M1	1.37	0.086003234	Low
7_D_TasdA_P_asdD_000_DlysA_0_4p5_M1	0.46	0.0	None
7_D_TasdA_P_asdD_000_DtdhDlysC_0_24_M1	4.85	0.975619643	High
M_D_TasdA_P_asdD_pyc_DptsG_0_24_M1	2.49	0.230188476	Low
M_D_TasdA1_P_asdD_000_DtdhDptsG_0_12_M1	0.48	0.0	None
M_D_TasdA_P_asdD_000_DdhaM_0_6_M1	0.48	0.0	None
M_D_TasdA_P_asdD_aceBA_DdapA_0_6_M1	0.51	0.118893049	Low
M_D_Tasd_P_asdD_rhtA_DrhtA_0_4p5_M1	0.16	0.0	None
7_D_TasdA_P_asdD_aspC_DtdhDdapA_0_6_M1	0.15	0.0	None
7_D_TasdA_P_asdD_aspC_DdapA_0_12_M1	0.71	0.057749203	Low
7_D_TasdA_P_asdD_000_DptsG_0_6_M1	0.3	0.0	None
7_D_Tasd_P_asdD_rhtA_Dtdh_I_6_M1	0.12	0.0	None
M_D_TasdA_P_asdD_zwf_DptsG_0_12_M1	0.83	0.092642411	Low
M_D_Tasd_P_asdD_pyc_DptsG_I_24_M1	1.22	0.0	None
M_D_Tasd_P_asdD_pyc_DdapA_I_24_M1	0.18	0.0	None
M_D_TasdA_P_asdD_pntAB_DrhtA_I_5p5_M1	0.0	0.005	Low
M_D_TasdA1_P_asdD_pyc_DlysA_0_24_M1	3.39	0.0	None
M_D_Tasd_P_asdD_rhtA_DtdhDptsG_0_12_M1	0.22	0.0	None
M_D_TasdA_P_asdD_pyc_DtdhDptsG_0_5p5_M1	0.41	0.014	Low
7_D_Tasd_P_asdD_pyc_DrhtA_0_12_M1	0.12	0.0	None
7_D_Tasd_P_asdD_000_DtdhDrhtA_0_24_M1	0.0	0.0	None
M_D_TasdA_P_asdD_aspC_DdapA_0_6_M1	0.55	0.079057986	Low
7_D_Tasd_P_asdD_000_DtdhDdapA_I_5p5_M1	0.13	0.0	None
M_D_TasdA_P_asdD_000_DtdhDdapA_0_12_M1	1.74	0.0	None
M_D_TasdA_P_asdD_000_DtdhDmetL_0_24_M1	1.34	0.739	Low
M_D_TasdA1_P_asdD_rhtA_DtdhDmetL_0_12_M1	0.01	0.0	None
M_D_Tasd_P_asdD_pyc_DlysA_0_24_M1	0.5	0.0	None
7_D_TasdA_P_asdD_zwf_DdhaM_0_12_M1	2.91	0.101832583	Low
7_D_Tasd_P_asdD_pyc_DtdhDlysC_I_12_M1	0.24	0.0	None
M_D_TasdA1_P_asdD_000_DtdhDdapA_I_6_M1	0.14	0.0	None
7_D_TasdA_P_asdD_zwf_DdhaM_I_6_M1	0.65	0.050401973	Low
M_D_TasdA1_P_asdD_rhtA_DdapA_I_12_M1	0.4	0.0	None
7_D_TasdA1_P_asdD_000_DdapA_0_4p5_M1	0.58	0.0	None
M_D_TasdA_P_asdD_aceBA_DtdhDptsG_0_6_M1	0.29	0.01508046	Low
M_D_TasdA_P_asdD_pntAB_DptsG_I_5p5_M1	0.0	0.0	None
M_D_Tasd_P_asdD_rhtA_Dtdh_0_12_M1	0.15	0.0	None
7_D_TasdA1_P_asdD_rhtA_Dtdh_I_12_M1	0.98	0.003360848	Low
7_D_TasdA_P_asdD_pntAB_DtdhDrhtA_I_12_M1	0.57	0.0	None
M_D_TasdA1_P_asdD_000_DtdhDptsG_0_24_M1	1.0	0.0	None
7_D_TasdA_P_asdD_rhtA_Dtdh_0_6_M1	0.21	0.049784226	Low
M_D_Tasd_P_asdD_000_DdhaM_I_5p5_M1	0.35	0.0	None
M_D_TasdA_P_asdD_rhtA_DtdhDlysC_I_24_M1	1.88	0.092628615	Low
7_D_Tasd_P_asdD_rhtA_DdhaM_0_12_M1	0.11	0.0	None
